tag,release_datetime
v1.0.2,2024-04-18T12:33:55
v1.0.3,2024-04-30T13:30:07
v1.0.4,2024-05-17T09:33:34
v1.0.5,2024-05-21T09:34:12
v1.0.6,2024-05-23T10:19:20
v1.0.7,2024-06-04T13:24:09
v1.0.8,2024-06-13T09:24:05
v1.0.9,2024-06-20T07:53:35
v1.0.10,2024-06-27T08:41:06
v1.0.11,2024-07-04T08:19:06
v1.0.12,2024-07-18T09:15:39
v1.0.13,2024-07-25T08:56:49
v1.0.14,2024-08-01T10:21:29
v1.0.15,2024-08-08T09:53:20
v1.0.16,2024-08-15T14:44:36
v1.0.17,2024-08-21T11:11:35
v1.0.18,2024-08-29T10:50:56
v1.0.19,2024-09-06T10:51:04
v1.0.20,2024-09-12T09:17:08
v1.0.21,2024-09-19T09:22:33
v1.0.22,2024-09-26T09:31:16
v1.0.23,2024-10-03T09:29:06
