tag,release_datetime
v1.0.3,2024-05-02T09:09:40
v1.0.6,2024-05-29T09:08:43
v1.0.7,2024-06-11T09:08:39
v1.0.8,2024-06-18T09:09:23
v1.0.9,2024-06-25T09:34:11
v1.0.10,2024-07-02T09:11:10
v1.0.11,2024-07-09T09:16:14
v1.0.12,2024-07-23T09:13:10
v1.0.13,2024-07-30T09:37:21
v1.0.14,2024-08-06T09:14:27
v1.0.15,2024-08-13T09:14:29
v1.0.16,2024-08-20T09:48:58
v1.0.17,2024-08-27T10:19:42
v1.0.18,2024-09-03T09:32:39
v1.0.19,2024-09-10T09:20:45
v1.0.20,2024-09-17T09:13:23
v1.0.21,2024-09-24T09:14:56
v1.0.22,2024-10-01T09:07:57
v1.0.23,2024-10-08T09:07:45
v1.1.0,2024-10-22T09:19:14
v1.1.1,2024-10-22T09:26:02
v1.1.2,2024-10-29T10:39:11
v1.1.3,2024-11-05T11:01:34
v1.1.4,2024-11-12T11:02:22
